Time ,Temp1,Temp2,Temp3,TCTemp3,,,외부 온도,23.9
1358.416,19.78403688,20.13938885,26.04006897,30.04556019,,,,
1358.515,19.75080476,19.91190137,26.0434538,30.04894503,,,,
1358.615,19.70390313,19.66033861,24.76080337,28.76629459,,,,
1358.714,19.79156913,19.94045372,25.0430814,29.04857262,,,,
1358.815,19.76327953,20.13136286,26.31287163,30.31836285,,,,
1358.914,19.74611858,19.93201855,25.33519184,29.34068306,,,,
1359.014,19.74392644,19.80002389,24.63562347,28.64111469,,,,
1359.114,19.69589218,19.82474486,24.96675249,28.97224371,,,,
1359.215,19.73257128,19.88809447,25.42610305,29.43159427,,,,
1359.315,19.71342845,20.02722355,25.89966526,29.90515648,,,,
1359.414,19.72024429,19.78506215,25.09059802,29.09608924,,,,
1359.515,19.76971039,19.89437266,24.99499978,29.000491,,,,
1359.679,19.6937641,20.06163118,25.65509063,29.66058185,,,,
1359.714,19.65654583,19.74554808,24.75223276,28.75772398,,,,
1359.815,19.70913644,19.75550813,24.69212795,28.69761917,,,,
1359.916,19.77840686,19.8848361,25.89091261,29.89640383,,,,
1360.015,19.74973385,19.91108502,26.0587456,30.06423682,,,,
1360.115,19.66683539,19.96919931,25.4123799,29.41787112,,,,
1360.214,19.59700402,19.772426,24.5236546,28.52914582,,,,
1360.315,19.62153691,19.89964075,24.55686725,28.56235847,,,,
1360.415,19.71983343,20.10533342,26.69094037,30.69643159,,,,
1360.514,19.63799951,19.82197192,26.28015709,30.28564831,,,,
1360.616,19.70037524,19.84913035,25.32762484,29.33311606,,,,
1360.715,19.66665925,19.99815569,26.19974658,30.2052378,,,,
1360.815,19.66551194,19.84261222,26.04967085,30.05516207,,,,
1360.915,19.71544243,19.75758572,25.7411574,29.74664862,,,,
1361.016,19.68064544,19.89826,25.59747126,29.60296248,,,,
1361.116,19.70925422,20.05836594,25.64073635,29.64622757,,,,
1361.214,19.7170716,20.26476226,26.08452077,30.09001199,,,,
1361.315,19.68113448,19.85396775,25.44156165,29.44705287,,,,
1361.416,19.74578304,19.76610314,25.33593447,29.34142569,,,,
1361.516,19.7867734,20.21090057,26.06552332,30.07101454,,,,
1361.615,19.73760831,20.3058901,25.7967386,29.80222982,,,,
1361.714,19.74186486,20.17419886,25.30011894,29.30561016,,,,
1361.816,19.7116868,20.02451133,25.54610002,29.55159124,,,,
